filename,file_path,panel,sample,magnification,field_id,marker,marker_raw,role,channel_dominant,exclude,animal,group,notes
2026-07-10_CFA 20x CD11C.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/2026-07-10_CFA 20x CD11C.tif,A,CFA,20x,A_CFA_20x,CD11c,CD11C,marker,R,False,,CFA,
2026-07-10_CFA 20x CD207.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/2026-07-10_CFA 20x CD207.tif,A,CFA,20x,A_CFA_20x,CD207,CD207,marker,RG,False,,CFA,
2026-07-10_CFA 20x DAPI.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/2026-07-10_CFA 20x DAPI.tif,A,CFA,20x,A_CFA_20x,DAPI,DAPI,marker,B,False,,CFA,
2026-07-10_CFA 20x SYK.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/2026-07-10_CFA 20x SYK.tif,A,CFA,20x,A_CFA_20x,SYK,SYK,marker,G,False,,CFA,
2026-07-10_CFA 20x 6_overlay.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/2026-07-10_CFA 20x 6_overlay.tif,A,CFA,20x,A_CFA_20x,overlay,6_overlay,overlay,GB,True,,CFA,
2026-07-10_CFA 40x CD11C.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/2026-07-10_CFA 40x CD11C.tif,A,CFA,40x,A_CFA_40x,CD11c,CD11C,marker,R,False,,CFA,
2026-07-10_CFA 40x CD207.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/2026-07-10_CFA 40x CD207.tif,A,CFA,40x,A_CFA_40x,CD207,CD207,marker,RG,False,,CFA,
2026-07-10_CFA 40x DAPI.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/2026-07-10_CFA 40x DAPI.tif,A,CFA,40x,A_CFA_40x,DAPI,DAPI,marker,B,False,,CFA,
2026-07-10_CFA 40x SYK.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/2026-07-10_CFA 40x SYK.tif,A,CFA,40x,A_CFA_40x,SYK,SYK,marker,G,False,,CFA,
2026-07-10_CFA 40x 6_overlay.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/2026-07-10_CFA 40x 6_overlay.tif,A,CFA,40x,A_CFA_40x,overlay,6_overlay,overlay,RGB,True,,CFA,
CFA 1 40X DAPI.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/CFA 1 40X DAPI.tif,B,1,40x,B_1_40x,DAPI,DAPI,marker,B,False,,CFA,
CFA 1 40X F480.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/CFA 1 40X F480.tif,B,1,40x,B_1_40x,F4-80,F480,marker,R,False,,CFA,
CFA 1 40X PGP9.5.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/CFA 1 40X PGP9.5.tif,B,1,40x,B_1_40x,PGP9.5,PGP9.5,marker,RG,False,,CFA,
CFA 1 40X SYK.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/CFA 1 40X SYK.tif,B,1,40x,B_1_40x,SYK,SYK,marker,G,False,,CFA,
CFA 1 40X merge.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/CFA 1 40X merge.tif,B,1,40x,B_1_40x,overlay,merge,overlay,RGB,True,,CFA,
CFA 1.1 40X DAPI.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/CFA 1.1 40X DAPI.tif,B,1.1,40x,B_1.1_40x,DAPI,DAPI,marker,B,False,,CFA,
CFA 1.1 40X F480.tif,/hpf/projects/msalter/sghazis/Imaging/ED/For Shahrzad/CFA 1.1 40X F480.tif,B,1.1,40x,B_1.1_40x,F4-80,F480,marker,R,False,,CFA,
